Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
UAE Team Emirates;ulissi diego;0.823;68;28;75.0;#ADFF2F;0.0;0.0;2.0;2.94;6.0;8.82;68.0;0.808;65.0;18.0;74.0;#ADFF2F;0.0;0.0;2.0;3.08;5.0;7.69;65.0;101;1989-07-15
INEOS Grenadiers;bernal egan;0.82;36;160;75.0;#ADFF2F;2.0;5.56;4.0;11.11;9.0;25.0;36.0;0.876;29.0;150.0;76.0;#ADFF2F;2.0;6.9;4.0;13.79;7.0;24.14;29.0;102;1997-01-01
Astana Qazaqstan Team;syritsa gleb;0.818;9;3;75.0;#ADFF2F;0.0;0.0;1.0;11.11;1.0;11.11;9.0;0.894;5.0;0.0;76.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;5.0;103;2000-04-01
UAE Team Emirates;soler marc;0.815;41;80;75.0;#ADFF2F;0.0;0.0;1.0;2.44;11.0;26.83;41.0;0.901;34.0;80.0;76.0;#ADFF2F;0.0;0.0;1.0;2.94;10.0;29.41;34.0;104;1993-11-22
Intermarche - Wanty;herregodts rune;0.814;23;129;75.0;#ADFF2F;1.0;4.35;4.0;17.39;12.0;52.17;23.0;0.805;15.0;85.0;74.0;#ADFF2F;0.0;0.0;1.0;6.67;8.0;53.33;15.0;105;1998-07-27
EF Education - EasyPost;beloki markel;0.806;3;30;74.0;#ADFF2F;0.0;0.0;1.0;33.33;1.0;33.33;3.0;;;;;;;;;;;;;106;2005-07-27
EF Education - EasyPost;nerurkar lukas;0.804;3;0;74.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;107;2003-11-01
Team Jayco AlUla;hepburn michael;0.803;62;100;74.0;#ADFF2F;0.0;0.0;3.0;4.84;18.0;29.03;62.0;0.93;56.0;80.0;77.0;#ADFF2F;0.0;0.0;2.0;3.57;17.0;30.36;56.0;108;1991-08-17
Team Visma | Lease a Bike;kruijswijk steven;0.786;75;53;74.0;#ADFF2F;0.0;0.0;1.0;1.33;12.0;16.0;75.0;0.852;70.0;53.0;75.0;#ADFF2F;0.0;0.0;1.0;1.43;12.0;17.14;70.0;109;1987-06-07
EF Education - EasyPost;de bod stefan;0.782;36;178;74.0;#ADFF2F;1.0;2.78;4.0;11.11;9.0;25.0;36.0;0.902;30.0;178.0;76.0;#ADFF2F;1.0;3.33;4.0;13.33;9.0;30.0;30.0;110;1996-11-17
Astana Qazaqstan Team;lutsenko alexey;0.762;61;95;74.0;#ADFF2F;1.0;1.64;1.0;1.64;4.0;6.56;61.0;0.763;56.0;85.0;74.0;#ADFF2F;1.0;1.79;1.0;1.79;4.0;7.14;56.0;111;1992-09-07
Team Jayco AlUla;craddock lawson;0.761;58;250;74.0;#ADFF2F;2.0;3.45;3.0;5.17;14.0;24.14;58.0;0.784;55.0;250.0;74.0;#ADFF2F;2.0;3.64;3.0;5.45;14.0;25.45;55.0;112;1992-02-20
Bahrain - Victorious;buitrago santiago;0.759;18;38;73.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;16.67;18.0;0.44;12.0;3.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;8.33;12.0;113;1999-09-26
EF Education - EasyPost;rafferty darren;0.758;9;5;73.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;11.11;9.0;0.747;1.0;0.0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;1.0;114;2003-07-01
Groupama - FDJ;watson samuel;0.753;11;43;73.0;#ADFF2F;0.0;0.0;2.0;18.18;5.0;45.45;11.0;0.608;5.0;0.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;20.0;5.0;115;2001-09-02
Arkea - B&B Hotels;scotson miles;0.75;34;35;73.0;#ADFF2F;0.0;0.0;1.0;2.94;10.0;29.41;34.0;0.783;31.0;35.0;74.0;#ADFF2F;0.0;0.0;1.0;3.23;10.0;32.26;31.0;116;1994-01-18
EF Education - EasyPost;uran rigoberto;0.725;75;177;73.0;#ADFF2F;2.0;2.67;4.0;5.33;13.0;17.33;75.0;0.766;70.0;174.0;74.0;#ADFF2F;2.0;2.86;4.0;5.71;12.0;17.14;70.0;117;1987-01-26
Team dsm-firmenich PostNL;eddy patrick;0.72;7;0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;28.57;7.0;1.273;2.0;0.0;83.0;#008000;0.0;0.0;0.0;0.0;1.0;50.0;2.0;118;2002-10-17
Team Jayco AlUla;harper chris;0.713;22;75;73.0;#ADFF2F;0.0;0.0;2.0;9.09;6.0;27.27;22.0;0.703;19.0;45.0;72.0;#ADFF2F;0.0;0.0;1.0;5.26;5.0;26.32;19.0;119;1994-11-02
Bahrain - Victorious;caruso damiano;0.704;82;146;72.0;#ADFF2F;0.0;0.0;2.0;2.44;12.0;14.63;82.0;0.703;72.0;146.0;72.0;#ADFF2F;0.0;0.0;2.0;2.78;12.0;16.67;72.0;120;1987-10-12
Intermarche - Wanty;van sintmaartensdijk roel;0.697;8;0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;12.5;8.0;0.456;1.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;1.0;121;2001-05-08
Decathlon AG2R La Mondiale Team;paret-peintre aurelien;0.691;34;3;72.0;#ADFF2F;0.0;0.0;0.0;0.0;4.0;11.76;34.0;0.606;27.0;2.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;7.41;27.0;122;1996-02-27
Team Jayco AlUla;o'brien kelland;0.686;10;35;72.0;#ADFF2F;0.0;0.0;1.0;10.0;3.0;30.0;10.0;0.45;6.0;20.0;68.0;#FFFF00;0.0;0.0;1.0;16.67;1.0;16.67;6.0;123;1998-05-22
INEOS Grenadiers;de plus laurens;0.683;37;35;72.0;#ADFF2F;0.0;0.0;0.0;0.0;4.0;10.81;37.0;0.649;33.0;35.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;4.0;12.12;33.0;124;1995-09-04
Astana Qazaqstan Team;tejada harold;0.674;26;40;72.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;3.85;26.0;0.506;18.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;18.0;125;1997-04-27
Decathlon AG2R La Mondiale Team;godon dorian;0.672;33;53;72.0;#ADFF2F;2.0;6.06;2.0;6.06;5.0;15.15;33.0;0.629;26.0;28.0;71.0;#ADFF2F;2.0;7.69;2.0;7.69;2.0;7.69;26.0;126;1996-05-25
Team Visma | Lease a Bike;van dijke tim;0.672;16;38;72.0;#ADFF2F;1.0;6.25;2.0;12.5;6.0;37.5;16.0;0.647;9.0;18.0;71.0;#ADFF2F;1.0;11.11;1.0;11.11;4.0;44.44;9.0;127;2000-03-15
Bahrain - Victorious;kepplinger rainer;0.669;11;10;72.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;9.09;11.0;0.546;4.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;128;1997-08-19
INEOS Grenadiers;august andrew;0.655;3;0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;129;2005-10-12
Lidl - Trek;milan jonathan;0.653;15;65;71.0;#ADFF2F;1.0;6.67;2.0;13.33;3.0;20.0;15.0;0.533;9.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;9.0;130;2000-10-01
Lidl - Trek;bagioli andrea;0.65;16;0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;6.25;16.0;0.718;10.0;0.0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;10.0;10.0;131;1999-03-02
Lidl - Trek;kirsch alex;0.649;47;85;71.0;#ADFF2F;0.0;0.0;4.0;8.51;11.0;23.4;47.0;0.65;40.0;85.0;71.0;#ADFF2F;0.0;0.0;4.0;10.0;9.0;22.5;40.0;132;1992-06-12
Astana Qazaqstan Team;bettiol alberto;0.647;47;193;71.0;#ADFF2F;2.0;4.26;5.0;10.64;14.0;29.79;47.0;0.56;41.0;174.0;70.0;#ADFF2F;2.0;4.88;4.0;9.76;10.0;24.39;41.0;133;1993-10-29
UAE Team Emirates;del toro isaac;0.644;7;7;71.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;14.29;7.0;;;;;;;;;;;;;134;2003-11-27
Bahrain - Victorious;bilbao pello;0.643;69;183;71.0;#ADFF2F;1.0;1.45;2.0;2.9;14.0;20.29;69.0;0.625;65.0;180.0;71.0;#ADFF2F;1.0;1.54;2.0;3.08;13.0;20.0;65.0;135;1990-02-25
Arkea - B&B Hotels;costiou ewen;0.643;13;5;71.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;23.08;13.0;0.644;9.0;5.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;22.22;9.0;136;2002-11-10
Decathlon AG2R La Mondiale Team;boasson hagen edvald;0.642;67;145;71.0;#ADFF2F;3.0;4.48;6.0;8.96;16.0;23.88;67.0;0.69;65.0;145.0;72.0;#ADFF2F;3.0;4.62;6.0;9.23;16.0;24.62;65.0;137;1987-05-17
Decathlon AG2R La Mondiale Team;de pestel sander;0.641;12;11;71.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;16.67;12.0;0.417;6.0;1.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;16.67;6.0;138;1998-10-11
Cofidis;herrada jesus;0.637;71;32;71.0;#ADFF2F;0.0;0.0;2.0;2.82;10.0;14.08;71.0;0.711;64.0;32.0;73.0;#ADFF2F;0.0;0.0;2.0;3.12;10.0;15.62;64.0;139;1990-07-26
Team Visma | Lease a Bike;laporte christophe;0.634;50;97;71.0;#ADFF2F;4.0;8.0;7.0;14.0;17.0;34.0;50.0;0.711;45.0;89.0;73.0;#ADFF2F;4.0;8.89;7.0;15.56;16.0;35.56;45.0;140;1992-12-11
Team Visma | Lease a Bike;gesink robert;0.62;66;21;71.0;#ADFF2F;0.0;0.0;1.0;1.52;5.0;7.58;66.0;0.673;58.0;21.0;72.0;#ADFF2F;0.0;0.0;1.0;1.72;5.0;8.62;58.0;141;1986-05-31
EF Education - EasyPost;carapaz richard;0.619;44;100;71.0;#ADFF2F;2.0;4.55;2.0;4.55;6.0;13.64;44.0;0.702;35.0;50.0;72.0;#ADFF2F;1.0;2.86;1.0;2.86;5.0;14.29;35.0;142;1993-05-29
EF Education - EasyPost;carr simon;0.616;17;0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;5.88;17.0;0.615;14.0;0.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;14.0;143;1998-08-29
Arkea - B&B Hotels;garcia pierna raul;0.613;21;92;71.0;#ADFF2F;1.0;4.76;2.0;9.52;5.0;23.81;21.0;0.311;10.0;66.0;65.0;#FFFF00;1.0;10.0;1.0;10.0;3.0;30.0;10.0;144;2001-02-02
Cofidis;hermans ben;0.612;49;34;71.0;#ADFF2F;1.0;2.04;2.0;4.08;3.0;6.12;49.0;0.604;48.0;34.0;71.0;#ADFF2F;1.0;2.08;2.0;4.17;3.0;6.25;48.0;145;1986-06-08
Team Jayco AlUla;plapp luke;0.611;16;165;71.0;#ADFF2F;1.0;6.25;1.0;6.25;4.0;25.0;16.0;0.425;9.0;15.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;11.11;9.0;146;2000-12-25
Team Visma | Lease a Bike;staune-mittet johannes;0.603;12;0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.925;5.0;0.0;77.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;5.0;147;2002-01-18
EF Education - EasyPost;doull owain;0.591;36;20;70.0;#ADFF2F;0.0;0.0;0.0;0.0;6.0;16.67;36.0;0.664;31.0;20.0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;6.0;19.35;31.0;148;1993-05-02
Bahrain - Victorious;poels wout;0.59;67;60;70.0;#ADFF2F;1.0;1.49;1.0;1.49;6.0;8.96;67.0;0.661;60.0;60.0;72.0;#ADFF2F;1.0;1.67;1.0;1.67;6.0;10.0;60.0;149;1987-10-01
Team dsm-firmenich PostNL;bardet romain;0.574;52;5;70.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;5.77;52.0;0.537;46.0;5.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;6.52;46.0;150;1990-11-09
INEOS Grenadiers;pidcock thomas;0.574;15;20;70.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;6.67;15.0;0.451;10.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;10.0;151;1999-07-30
Team Visma | Lease a Bike;tulett ben;0.573;19;31;70.0;#ADFF2F;1.0;5.26;2.0;10.53;6.0;31.58;19.0;0.848;15.0;31.0;75.0;#ADFF2F;1.0;6.67;2.0;13.33;6.0;40.0;15.0;152;2001-08-26
Team dsm-firmenich PostNL;leijnse enzo;0.572;10;0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.726;3.0;0.0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;3.0;153;2001-07-16
Team Visma | Lease a Bike;bouwman koen;0.572;50;45;70.0;#ADFF2F;0.0;0.0;1.0;2.0;7.0;14.0;50.0;0.617;46.0;45.0;71.0;#ADFF2F;0.0;0.0;1.0;2.17;7.0;15.22;46.0;154;1993-12-02
UAE Team Emirates;majka rafal;0.571;79;6;70.0;#ADFF2F;0.0;0.0;1.0;1.27;8.0;10.13;79.0;0.586;71.0;6.0;70.0;#ADFF2F;0.0;0.0;1.0;1.41;8.0;11.27;71.0;155;1989-09-12
Alpecin - Deceuninck;hollmann juri;0.568;18;11;70.0;#ADFF2F;0.0;0.0;1.0;5.56;4.0;22.22;18.0;0.694;12.0;11.0;72.0;#ADFF2F;0.0;0.0;1.0;8.33;4.0;33.33;12.0;156;1999-08-30
INEOS Grenadiers;leonard michael;0.56;6;0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;16.67;6.0;1.094;2.0;0.0;80.0;#008000;0.0;0.0;0.0;0.0;1.0;50.0;2.0;157;1987-01-16
Red Bull - BORA - hansgrohe;welsford sam;0.558;8;3;70.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;25.0;8.0;0.662;6.0;3.0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;33.33;6.0;158;1996-01-19
Cofidis;perez anthony;0.557;48;19;70.0;#ADFF2F;0.0;0.0;0.0;0.0;7.0;14.58;48.0;0.593;43.0;4.0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;7.0;16.28;43.0;159;1991-04-22
Cofidis;gougeard alexis;0.557;55;40;70.0;#ADFF2F;0.0;0.0;1.0;1.82;6.0;10.91;55.0;0.572;53.0;40.0;70.0;#ADFF2F;0.0;0.0;1.0;1.89;6.0;11.32;53.0;160;1993-03-05
EF Education - EasyPost;rutsch jonas;0.556;28;20;70.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;10.71;28.0;0.631;22.0;20.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;13.64;22.0;161;1998-01-02
EF Education - EasyPost;costa rui;0.55;88;62;69.0;#FFFF00;1.0;1.14;5.0;5.68;16.0;18.18;88.0;0.577;81.0;42.0;70.0;#ADFF2F;1.0;1.23;4.0;4.94;15.0;18.52;81.0;162;1986-10-05
Red Bull - BORA - hansgrohe;hindley jai;0.549;37;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.459;30.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;30.0;163;1996-05-05
Bahrain - Victorious;haig jack;0.548;47;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.26;47.0;0.519;41.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;164;1993-09-06
Groupama - FDJ;geniets kevin;0.545;28;70;69.0;#FFFF00;1.0;3.57;2.0;7.14;3.0;10.71;28.0;0.7;22.0;70.0;72.0;#ADFF2F;1.0;4.55;2.0;9.09;3.0;13.64;22.0;165;1997-01-09
Groupama - FDJ;davy clement;0.545;23;24;69.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;13.04;23.0;0.54;17.0;24.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;17.65;17.0;166;1998-07-17
Bahrain - Victorious;price-pejtersen johan;0.543;16;114;69.0;#FFFF00;0.0;0.0;1.0;6.25;6.0;37.5;16.0;0.454;9.0;23.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;33.33;9.0;167;1999-05-26
Red Bull - BORA - hansgrohe;maciejuk filip;0.54;13;6;69.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;7.69;13.0;0.226;7.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;7.0;168;1999-09-03
Groupama - FDJ;paleni enzo;0.539;16;33;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;12.5;16.0;0.384;8.0;33.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;25.0;8.0;169;2002-05-30
Team dsm-firmenich PostNL;eekhoff nils;0.537;17;20;69.0;#FFFF00;1.0;5.88;1.0;5.88;1.0;5.88;17.0;0.659;16.0;20.0;72.0;#ADFF2F;1.0;6.25;1.0;6.25;1.0;6.25;16.0;170;1998-01-02
Team Jayco AlUla;mackellar alastair;0.53;4;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.53;4.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;171;2002-01-20
Movistar Team;romo javier;0.528;14;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;7.14;14.0;0.624;8.0;0.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;12.5;8.0;172;1999-01-06
UAE Team Emirates;oliveira ivo;0.525;31;200;69.0;#FFFF00;2.0;6.45;6.0;19.35;9.0;29.03;31.0;0.429;23.0;135.0;67.0;#FFFF00;2.0;8.7;4.0;17.39;6.0;26.09;23.0;173;1996-09-05
Cofidis;zingle axel;0.52;14;18;69.0;#FFFF00;0.0;0.0;1.0;7.14;2.0;14.29;14.0;0.482;8.0;15.0;68.0;#FFFF00;0.0;0.0;1.0;12.5;1.0;12.5;8.0;174;1998-12-18
Soudal Quick-Step;masnada fausto;0.52;34;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.94;34.0;0.721;28.0;0.0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;3.57;28.0;175;1993-11-06
Groupama - FDJ;gaudu david;0.515;41;30;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;0.541;32.0;30.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;6.25;32.0;176;1996-10-10
Lidl - Trek;konrad patrick;0.512;59;23;69.0;#FFFF00;0.0;0.0;2.0;3.39;4.0;6.78;59.0;0.487;52.0;23.0;68.0;#FFFF00;0.0;0.0;2.0;3.85;4.0;7.69;52.0;177;1991-10-01
Lidl - Trek;cataldo dario;0.508;77;17;69.0;#FFFF00;0.0;0.0;0.0;0.0;9.0;11.69;77.0;0.535;75.0;17.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;9.0;12.0;75.0;178;1985-03-17
Red Bull - BORA - hansgrohe;buchmann emanuel;0.499;41;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;0.549;38.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.26;38.0;179;1992-11-18
Movistar Team;lazkano oier;0.493;24;95;68.0;#FFFF00;0.0;0.0;2.0;8.33;4.0;16.67;24.0;0.412;18.0;60.0;67.0;#FFFF00;0.0;0.0;2.0;11.11;2.0;11.11;18.0;180;1999-11-07
EF Education - EasyPost;valgren michael;0.492;53;45;68.0;#FFFF00;0.0;0.0;1.0;1.89;4.0;7.55;53.0;0.54;46.0;45.0;69.0;#FFFF00;0.0;0.0;1.0;2.17;4.0;8.7;46.0;181;1992-02-07
Soudal Quick-Step;moscon gianni;0.481;33;180;68.0;#FFFF00;2.0;6.06;3.0;9.09;8.0;24.24;33.0;0.641;29.0;180.0;71.0;#ADFF2F;2.0;6.9;3.0;10.34;8.0;27.59;29.0;182;1994-04-20
Team dsm-firmenich PostNL;tusveld martijn;0.481;47;9;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;6.38;47.0;0.554;41.0;9.0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;7.32;41.0;183;1993-09-09
Lidl - Trek;gibbons ryan;0.478;35;141;68.0;#FFFF00;2.0;5.71;3.0;8.57;5.0;14.29;35.0;0.475;29.0;91.0;68.0;#FFFF00;1.0;3.45;2.0;6.9;4.0;13.79;29.0;184;1994-08-01
EF Education - EasyPost;carthy hugh;0.472;40;12;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;7.5;40.0;0.48;39.0;12.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;7.69;39.0;185;1994-07-09
Soudal Quick-Step;reinderink pepijn;0.469;6;1;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;16.67;6.0;;;;;;;;;;;;;186;2002-05-04
Team Visma | Lease a Bike;van belle loe;0.469;7;0;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;14.29;7.0;0.577;4.0;0.0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;25.0;4.0;187;2002-01-02
Bahrain - Victorious;arndt nikias;0.468;69;56;68.0;#FFFF00;0.0;0.0;2.0;2.9;9.0;13.04;69.0;0.573;61.0;48.0;70.0;#ADFF2F;0.0;0.0;2.0;3.28;8.0;13.11;61.0;188;1991-11-18
EF Education - EasyPost;todome yuhi;0.465;2;0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;189;2002-06-18
Cofidis;izagirre gorka;0.465;80;74;68.0;#FFFF00;0.0;0.0;3.0;3.75;11.0;13.75;80.0;0.502;76.0;74.0;69.0;#FFFF00;0.0;0.0;3.0;3.95;11.0;14.47;76.0;190;1987-10-07
Alpecin - Deceuninck;meurisse xandro;0.459;53;16;68.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;7.55;53.0;0.47;45.0;16.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;8.89;45.0;191;1992-01-31
Astana Qazaqstan Team;scaroni christian;0.441;12;1;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;8.33;12.0;0.454;8.0;1.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;12.5;8.0;192;1997-10-16
INEOS Grenadiers;rivera brandon smith;0.441;20;48;67.0;#FFFF00;0.0;0.0;1.0;5.0;5.0;25.0;20.0;-0.036;10.0;15.0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;10.0;10.0;193;1996-03-21
Team Jayco AlUla;de marchi alessandro;0.441;73;169;67.0;#FFFF00;0.0;0.0;3.0;4.11;10.0;13.7;73.0;0.499;66.0;166.0;69.0;#FFFF00;0.0;0.0;3.0;4.55;9.0;13.64;66.0;194;1986-05-19
Red Bull - BORA - hansgrohe;higuita sergio;0.439;33;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.484;26.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;26.0;195;1997-08-01
Arkea - B&B Hotels;delaplace anthony;0.434;62;66;67.0;#FFFF00;0.0;0.0;1.0;1.61;5.0;8.06;62.0;0.454;58.0;66.0;68.0;#FFFF00;0.0;0.0;1.0;1.72;5.0;8.62;58.0;196;1989-09-11
Team Visma | Lease a Bike;lemmen bart;0.431;14;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;14.29;14.0;0.969;6.0;0.0;77.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;33.33;6.0;197;1995-10-01
EF Education - EasyPost;sweeny harry;0.429;21;30;67.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;14.29;21.0;0.345;17.0;0.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.88;17.0;198;1998-07-09
Intermarche - Wanty;van hoecke gijs;0.429;37;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.484;32.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;32.0;199;1991-11-12
UAE Team Emirates;hirschi marc;0.427;33;65;67.0;#FFFF00;0.0;0.0;2.0;6.06;6.0;18.18;33.0;0.369;27.0;60.0;66.0;#FFFF00;0.0;0.0;2.0;7.41;5.0;18.52;27.0;200;1998-08-02
Team Jayco AlUla;dunbar eddie;0.423;36;78;67.0;#FFFF00;1.0;2.78;3.0;8.33;4.0;11.11;36.0;0.436;27.0;53.0;67.0;#FFFF00;0.0;0.0;2.0;7.41;3.0;11.11;27.0;201;1996-09-01
Arkea - B&B Hotels;champoussin clement;0.42;21;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.51;16.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;16.0;202;1998-05-29
Bahrain - Victorious;gradek kamil;0.418;26;5;67.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;7.69;26.0;0.501;22.0;5.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;9.09;22.0;203;1990-09-17
Intermarche - Wanty;calmejane lilian;0.405;42;5;67.0;#FFFF00;0.0;0.0;1.0;2.38;3.0;7.14;42.0;0.389;38.0;5.0;66.0;#FFFF00;0.0;0.0;1.0;2.63;3.0;7.89;38.0;204;1992-12-06
Red Bull - BORA - hansgrohe;zwiehoff ben;0.403;20;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.432;15.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;15.0;205;1994-02-22
