Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
Team dsm-firmenich PostNL;van den broek frank;0.401;6;0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.045;1.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;1.0;206;2000-12-28
Decathlon AG2R La Mondiale Team;touze damien;0.384;25;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.0;25.0;0.256;18.0;0.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;18.0;207;1996-07-07
Team dsm-firmenich PostNL;van uden casper;0.383;9;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.29;5.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;208;2001-07-22
Cofidis;fretin milan;0.382;7;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.517;4.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;209;2001-03-19
Soudal Quick-Step;svrcek martin;0.381;7;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;14.29;7.0;0.514;5.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;20.0;5.0;210;2003-02-17
INEOS Grenadiers;turner ben;0.377;9;11;66.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;33.33;9.0;0.625;4.0;1.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;50.0;4.0;211;1999-05-28
INEOS Grenadiers;rodriguez oscar;0.367;42;16;66.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;9.52;42.0;0.406;34.0;16.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;11.76;34.0;212;1995-05-06
Alpecin - Deceuninck;rickaert jonas;0.367;40;21;66.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.0;40.0;0.391;35.0;21.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.71;35.0;213;1994-02-07
Team Jayco AlUla;hamilton lucas;0.366;34;10;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.94;34.0;0.442;30.0;10.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.33;30.0;214;1996-02-12
Decathlon AG2R La Mondiale Team;warbasse larry;0.361;63;40;66.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;6.35;63.0;0.31;56.0;40.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;5.36;56.0;215;1990-06-28
EF Education - EasyPost;honore mikkel frolich;0.358;29;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.45;29.0;0.363;23.0;0.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.35;23.0;216;1997-01-21
INEOS Grenadiers;heiduk kim;0.356;15;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;20.0;15.0;0.329;7.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;14.29;7.0;217;2000-03-03
Team Visma | Lease a Bike;valter attila;0.353;28;70;66.0;#FFFF00;0.0;0.0;3.0;10.71;4.0;14.29;28.0;0.457;20.0;70.0;68.0;#FFFF00;0.0;0.0;3.0;15.0;4.0;20.0;20.0;218;1998-06-12
Decathlon AG2R La Mondiale Team;baudin alex;0.352;12;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;8.33;12.0;-0.361;5.0;0.0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;5.0;219;2001-05-25
Groupama - FDJ;penhoet paul;0.347;10;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.295;7.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;7.0;220;2001-12-28
Astana Qazaqstan Team;velasco simone;0.345;28;15;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.57;28.0;0.253;22.0;15.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.55;22.0;221;1995-12-02
Bahrain - Victorious;mohoric matej;0.344;51;136;66.0;#FFFF00;1.0;1.96;4.0;7.84;7.0;13.73;51.0;0.313;46.0;86.0;65.0;#FFFF00;0.0;0.0;3.0;6.52;6.0;13.04;46.0;222;1994-10-19
Movistar Team;formolo davide;0.344;57;0;66.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.424;51.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;51.0;223;1992-10-25
Arkea - B&B Hotels;senechal florian;0.341;44;11;66.0;#FFFF00;0.0;0.0;1.0;2.27;2.0;4.55;44.0;0.397;41.0;11.0;67.0;#FFFF00;0.0;0.0;1.0;2.44;2.0;4.88;41.0;224;1993-07-10
Astana Qazaqstan Team;fedorov yevgeniy;0.339;13;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.437;8.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;225;2000-02-16
Soudal Quick-Step;landa mikel;0.338;64;70;65.0;#FFFF00;0.0;0.0;1.0;1.56;2.0;3.12;64.0;0.293;57.0;25.0;65.0;#FFFF00;0.0;0.0;1.0;1.75;1.0;1.75;57.0;226;1989-12-01
EF Education - EasyPost;amador andrey;0.331;80;33;65.0;#FFFF00;0.0;0.0;3.0;3.75;10.0;12.5;80.0;0.36;79.0;33.0;66.0;#FFFF00;0.0;0.0;3.0;3.8;10.0;12.66;79.0;227;1986-08-29
Soudal Quick-Step;vervaeke louis;0.33;39;3;65.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.13;39.0;0.405;31.0;3.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;6.45;31.0;228;1993-10-06
Team dsm-firmenich PostNL;van den berg julius;0.33;31;18;65.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;9.68;31.0;0.497;25.0;18.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;12.0;25.0;229;1996-10-02
Soudal Quick-Step;pedersen casper;0.327;30;6;65.0;#FFFF00;0.0;0.0;0.0;0.0;5.0;16.67;30.0;0.485;27.0;6.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;5.0;18.52;27.0;230;1996-03-15
Lidl - Trek;oomen sam;0.326;46;5;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.17;46.0;0.389;39.0;5.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.56;39.0;231;1995-08-15
Red Bull - BORA - hansgrohe;aleotti giovanni;0.324;21;14;65.0;#FFFF00;1.0;4.76;1.0;4.76;1.0;4.76;21.0;0.464;15.0;14.0;68.0;#FFFF00;1.0;6.67;1.0;6.67;1.0;6.67;15.0;232;1999-05-25
Team Visma | Lease a Bike;uijtdebroeks cian;0.322;16;10;65.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;12.5;16.0;0.437;10.0;10.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;20.0;10.0;233;2003-02-28
Red Bull - BORA - hansgrohe;hajek alexander;0.319;1;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;234;2003-07-19
Movistar Team;aranburu alex;0.319;32;50;65.0;#FFFF00;0.0;0.0;1.0;3.12;5.0;15.62;32.0;0.276;26.0;45.0;64.0;#FFFF00;0.0;0.0;1.0;3.85;3.0;11.54;26.0;235;1995-09-19
Team Jayco AlUla;reinders elmar;0.318;24;15;65.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;12.5;24.0;0.422;20.0;15.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;15.0;20.0;236;1992-03-01
Movistar Team;canal carlos;0.315;16;1;65.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;18.75;16.0;0.304;12.0;1.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;25.0;12.0;237;2001-06-28
Intermarche - Wanty;goossens kobe;0.313;24;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.314;18.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;18.0;238;1996-04-29
Intermarche - Wanty;taaramae rein;0.307;83;13;65.0;#FFFF00;0.0;0.0;0.0;0.0;7.0;8.43;83.0;0.36;79.0;13.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;7.0;8.86;79.0;239;1987-04-02
Groupama - FDJ;madouas valentin;0.305;36;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;11.11;36.0;0.32;29.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;13.79;29.0;240;1996-07-12
UAE Team Emirates;arrieta igor;0.305;9;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.474;5.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;241;2002-12-08
Intermarche - Wanty;teunissen mike;0.296;50;21;65.0;#FFFF00;1.0;2.0;2.0;4.0;3.0;6.0;50.0;0.3;43.0;21.0;65.0;#FFFF00;1.0;2.33;2.0;4.65;3.0;6.98;43.0;242;1992-08-25
Arkea - B&B Hotels;louvel matis;0.288;20;0;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.0;20.0;0.294;18.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.56;18.0;243;1999-07-19
Arkea - B&B Hotels;verre alessandro;0.287;10;1;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;10.0;10.0;0.322;5.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;244;2001-11-17
Astana Qazaqstan Team;battistella samuele;0.279;22;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;9.09;22.0;0.228;18.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;11.11;18.0;245;1998-11-01
Lidl - Trek;stuyven jasper;0.278;55;23;64.0;#FFFF00;0.0;0.0;0.0;0.0;5.0;9.09;55.0;0.227;48.0;23.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;8.33;48.0;246;1992-04-17
Arkea - B&B Hotels;thierry pierre;0.278;1;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;247;2003-05-31
Bahrain - Victorious;pickering finlay;0.274;3;3;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;33.33;3.0;;;;;;;;;;;;;248;2003-01-27
Soudal Quick-Step;vansevenant mauri;0.272;22;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.432;16.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;16.0;249;1999-06-01
EF Education - EasyPost;quinn sean;0.269;20;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.0;20.0;0.094;14.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;14.0;250;2000-05-10
Decathlon AG2R La Mondiale Team;berthet clement;0.269;17;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.286;12.0;0.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;12.0;251;1997-08-02
Soudal Quick-Step;serry pieter;0.263;50;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.315;45.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;45.0;252;1988-11-21
Alpecin - Deceuninck;janssens jimmy;0.26;22;12;64.0;#FFFF00;0.0;0.0;1.0;4.55;3.0;13.64;22.0;0.328;17.0;12.0;65.0;#FFFF00;0.0;0.0;1.0;5.88;3.0;17.65;17.0;253;1989-05-30
Team Visma | Lease a Bike;benoot tiesj;0.26;43;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.339;39.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;39.0;254;1994-03-11
Red Bull - BORA - hansgrohe;adria roger;0.255;19;4;64.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;10.53;19.0;0.382;11.0;4.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;18.18;11.0;255;1998-04-18
INEOS Grenadiers;fraile omar;0.254;52;3;64.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;3.85;52.0;0.288;46.0;3.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.35;46.0;256;1990-07-17
Red Bull - BORA - hansgrohe;luhrs luis-joe;0.253;9;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;11.11;9.0;0.231;8.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;12.5;8.0;257;2003-01-20
Arkea - B&B Hotels;demare arnaud;0.25;60;17;64.0;#FFFF00;1.0;1.67;2.0;3.33;6.0;10.0;60.0;0.274;54.0;17.0;64.0;#FFFF00;1.0;1.85;2.0;3.7;6.0;11.11;54.0;258;1991-08-26
INEOS Grenadiers;shmidt artem;0.248;2;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.248;2.0;0.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;259;2004-01-30
Movistar Team;jacobs johan;0.246;20;4;64.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;10.0;20.0;0.275;14.0;3.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;7.14;14.0;260;1997-03-01
Cofidis;fernandez ruben;0.246;46;8;64.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.35;46.0;0.31;41.0;8.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;261;1991-03-01
Lidl - Trek;lopez juan pedro;0.244;19;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.228;16.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;16.0;262;1997-07-31
Groupama - FDJ;molard rudy;0.241;59;0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.69;59.0;0.297;54.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.85;54.0;263;1989-09-17
Arkea - B&B Hotels;riou alan;0.225;26;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.85;26.0;0.423;19.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.26;19.0;264;1997-04-02
Alpecin - Deceuninck;riesebeek oscar;0.221;40;1;63.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.0;40.0;0.378;31.0;1.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;6.45;31.0;265;1992-12-02
Cofidis;geschke simon;0.219;73;50;63.0;#FFFF00;0.0;0.0;1.0;1.37;3.0;4.11;73.0;0.229;67.0;50.0;63.0;#FFFF00;0.0;0.0;1.0;1.49;3.0;4.48;67.0;266;1986-03-01
Groupama - FDJ;russo clement;0.218;28;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.251;22.0;0.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;22.0;267;1995-01-20
Alpecin - Deceuninck;leysen senne;0.215;32;3;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.12;32.0;0.253;27.0;3.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.7;27.0;268;1996-03-18
EF Education - EasyPost;piccolo andrea;0.212;5;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.366;3.0;0.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;3.0;269;2001-03-02
Groupama - FDJ;bystrom sven erik;0.204;42;15;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.38;42.0;0.19;37.0;15.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.7;37.0;270;1992-01-21
Bahrain - Victorious;wisniowski lukasz;0.203;32;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.12;32.0;0.315;29.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.45;29.0;271;1991-12-07
Team Jayco AlUla;scotson callum;0.2;27;10;63.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;7.41;27.0;0.096;22.0;10.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;9.09;22.0;272;1996-08-10
Team dsm-firmenich PostNL;leemreize gijs;0.198;30;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.33;30.0;0.258;20.0;0.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.0;20.0;273;1999-10-02
Decathlon AG2R La Mondiale Team;gall felix;0.196;23;15;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.232;15.0;15.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;15.0;274;1998-02-27
Alpecin - Deceuninck;uhlig henri;0.195;3;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.618;1.0;0.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;1.0;275;2001-08-01
Bahrain - Victorious;traeen torstein;0.191;15;3;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;6.67;15.0;0.279;9.0;3.0;64.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;11.11;9.0;276;1995-07-16
Movistar Team;sanchez pelayo;0.19;14;10;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;7.14;14.0;0.19;6.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;277;2000-03-27
Decathlon AG2R La Mondiale Team;gautherat pierre;0.19;9;0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;11.11;9.0;0.179;4.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;278;2003-01-16
Team dsm-firmenich PostNL;dinham matthew;0.179;4;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.179;4.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;279;2000-04-09
Bahrain - Victorious;miholjevic fran;0.178;8;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.425;3.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;3.0;280;2002-08-02
Red Bull - BORA - hansgrohe;gamper patrick;0.17;28;130;62.0;#FFFF00;1.0;3.57;3.0;10.71;5.0;17.86;28.0;0.189;19.0;100.0;63.0;#FFFF00;1.0;5.26;2.0;10.53;4.0;21.05;19.0;281;1997-02-18
Red Bull - BORA - hansgrohe;denz nico;0.168;49;33;62.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.08;49.0;0.214;45.0;33.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.44;45.0;282;1994-02-15
Groupama - FDJ;germani lorenzo;0.163;16;1;62.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;12.5;16.0;0.388;7.0;0.0;66.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;14.29;7.0;283;2002-03-03
Intermarche - Wanty;page hugo;0.163;13;15;62.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;7.69;13.0;0.464;8.0;15.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;12.5;8.0;284;2001-07-02
Decathlon AG2R La Mondiale Team;peters nans;0.161;50;8;62.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.088;41.0;8.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.44;41.0;285;1994-03-12
Decathlon AG2R La Mondiale Team;vendrame andrea;0.151;38;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.26;38.0;0.149;31.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;6.45;31.0;286;1994-07-20
Decathlon AG2R La Mondiale Team;labrosse jordan;0.15;4;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.982;1.0;0.0;78.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;1.0;287;2002-09-15
Team Jayco AlUla;zana filippo;0.148;18;2;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;18.0;-0.108;13.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;13.0;288;1999-03-18
Team Jayco AlUla;juul-jensen christopher;0.148;63;6;62.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.59;63.0;0.221;55.0;6.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.82;55.0;289;1989-07-06
Alpecin - Deceuninck;hermans quinten;0.146;24;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.091;17.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;290;1995-07-29
EF Education - EasyPost;van den berg marijn;0.145;11;0;62.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;9.09;11.0;0.302;6.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;291;1999-07-19
Cofidis;coquard bryan;0.134;52;33;62.0;#FFFF00;1.0;1.92;3.0;5.77;3.0;5.77;52.0;0.176;48.0;33.0;62.0;#FFFF00;1.0;2.08;3.0;6.25;3.0;6.25;48.0;292;1992-04-25
Team Visma | Lease a Bike;vermote julien;0.125;61;3;61.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;6.56;61.0;0.094;54.0;3.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;7.41;54.0;293;1989-07-26
Decathlon AG2R La Mondiale Team;dewulf stan;0.122;24;1;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.17;24.0;0.067;20.0;1.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.0;20.0;294;1997-12-20
Decathlon AG2R La Mondiale Team;tronchon bastien;0.119;11;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.144;6.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;295;2002-03-29
Lidl - Trek;bernard julien;0.118;58;1;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.72;58.0;0.089;50.0;1.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.0;50.0;296;1992-03-17
Movistar Team;serrano gonzalo;0.115;21;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.76;21.0;0.041;17.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;297;1994-08-17
Soudal Quick-Step;knox james;0.114;40;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.215;35.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;298;1995-11-04
Movistar Team;guerreiro ruben;0.111;38;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;38.0;0.146;35.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;299;1994-07-06
Astana Qazaqstan Team;ballerini davide;0.109;31;17;61.0;#FFFF00;1.0;3.23;1.0;3.23;3.0;9.68;31.0;0.199;26.0;17.0;63.0;#FFFF00;1.0;3.85;1.0;3.85;3.0;11.54;26.0;300;1994-09-21
UAE Team Emirates;vink michael;0.109;6;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.307;3.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;3.0;301;1991-11-22
EF Education - EasyPost;chaves esteban;0.107;52;40;61.0;#FFFF00;0.0;0.0;1.0;1.92;4.0;7.69;52.0;0.153;48.0;40.0;62.0;#FFFF00;0.0;0.0;1.0;2.08;4.0;8.33;48.0;302;1990-01-17
Decathlon AG2R La Mondiale Team;cosnefroy benoit;0.103;31;35;61.0;#FFFF00;1.0;3.23;2.0;6.45;4.0;12.9;31.0;-0.019;27.0;15.0;59.0;#FFA500;0.0;0.0;1.0;3.7;3.0;11.11;27.0;303;1995-10-17
Groupama - FDJ;rochas remy;0.102;31;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.23;31.0;0.004;25.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.0;25.0;304;1996-05-18
Bahrain - Victorious;zambanini edoardo;0.101;13;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;13.0;-0.18;7.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;305;2001-04-21
Lidl - Trek;skujins toms;0.095;48;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.17;48.0;0.075;42.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.38;42.0;306;1991-06-15
Lidl - Trek;theuns edward;0.095;55;2;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.82;55.0;0.057;48.0;2.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.08;48.0;307;1991-04-30
Decathlon AG2R La Mondiale Team;lapeira paul;0.095;15;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.061;9.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;9.0;308;2000-05-25
Astana Qazaqstan Team;chzhan igor;0.093;8;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.696;4.0;0.0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;4.0;309;1999-10-02
Team dsm-firmenich PostNL;vermaerke kevin;0.09;17;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.151;13.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;13.0;310;2000-10-16
Team Visma | Lease a Bike;kuss sepp;0.089;46;65;61.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.35;46.0;0.05;40.0;65.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.0;40.0;311;1994-09-01
